task_id	group	name	alpha	tau_mode	seed	n_train	n_calib	n_eval	hadamard	n_trials	command
78	hadamard_ablation	hadamard_1_seed_44	0.05	global	44	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
79	hadamard_ablation	hadamard_1_seed_45	0.05	global	45	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
80	hadamard_ablation	hadamard_1_seed_46	0.05	global	46	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
81	tau_mode_ablation	tau_global_seed_42	0.05	global	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
82	tau_mode_ablation	tau_global_seed_43	0.05	global	43	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 43 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
83	tau_mode_ablation	tau_global_seed_44	0.05	global	44	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 44 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
84	tau_mode_ablation	tau_global_seed_45	0.05	global	45	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 45 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
85	tau_mode_ablation	tau_global_seed_46	0.05	global	46	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode global --n_trials 50 --seed 46 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
86	tau_mode_ablation	tau_local_seed_42	0.05	local	42	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode local --n_trials 50 --seed 42 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
87	tau_mode_ablation	tau_local_seed_43	0.05	local	43	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode local --n_trials 50 --seed 43 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
88	tau_mode_ablation	tau_local_seed_44	0.05	local	44	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode local --n_trials 50 --seed 44 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
89	tau_mode_ablation	tau_local_seed_45	0.05	local	45	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode local --n_trials 50 --seed 45 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
90	tau_mode_ablation	tau_local_seed_46	0.05	local	46	1270	1240	1270	1	50	/home/malmatal/.conda/envs/ec/bin/python -m NeighborCache.region_local_threshold.cli --data NeighborCache/data/h1h0_final.npz --region_key global_cluster --alpha 0.05 --tau_mode local --n_trials 50 --seed 46 --n_train 1270 --n_calib 1240 --n_eval 1270 --hadamard_preprocess
